Delivery_person_Age,Delivery_person_Ratings,Order_Date,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),order_prepare_time (min),distance,time_category,day_of_week
36.0,4.2,2022-02-12,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,15,10.27146402322994,Night,Saturday
21.0,4.7,2022-02-13,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,10,6.229376076976667,Afternoon,Sunday
23.0,4.7,2022-03-04,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,10,13.764305929575334,Evening,Friday
34.0,4.3,2022-02-13,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,10,2.9277947281095997,Morning,Sunday
24.0,4.7,2022-02-14,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,15,19.37348408863585,Night,Monday
29.0,4.5,2022-04-02,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,10,13.740932234405253,Night,Saturday
35.0,4.0,2022-03-01,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,15,6.205589948340002,Afternoon,Tuesday
33.0,4.2,2022-03-16,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,10,16.821191645783845,Night,Wednesday
34.0,4.9,2022-03-20,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41,10,10.738078032534037,Night,Sunday
21.0,4.7,2022-02-15,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,15,4.533895591762387,Night,Tuesday
25.0,4.1,2022-03-16,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,5,12.23513612361146,Night,Wednesday
31.0,4.7,2022-03-10,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,15,19.590994221235338,Night,Thursday
37.0,5.0,2022-03-11,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,15,1.554950180979803,Morning,Friday
33.0,4.3,2022-03-27,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,15,20.140905255245308,Night,Sunday
25.0,4.0,2022-03-26,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,5,6.106736943461254,Afternoon,Saturday
29.0,4.5,2022-03-27,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,15,17.04198395713032,Evening,Sunday
27.0,5.0,2022-04-05,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,5,4.4650683810240395,Night,Tuesday
35.0,4.3,2022-03-12,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,10,13.66073757837138,Night,Saturday
32.0,4.0,2022-03-16,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,15,13.94563444308926,Night,Wednesday
23.0,4.8,2022-04-02,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,10,16.82479191121949,Night,Saturday
31.0,4.8,2022-04-01,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,15,4.664630782215899,Night,Friday
36.0,4.1,2022-03-05,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,5,7.589769422472331,Night,Saturday
26.0,4.3,2022-02-11,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,10,7.705941974795929,Night,Friday
